"id","texto","palavras"
"F0011","A própria lei é também um exemplo porque, como manifestações não de consenso, manifestações de descrição de realidade no fundo, que é o que toda a teoria do direito é. Dizer, as sociedades comportam-se assim, o homem comporta-se assim, mas como o melhor resultado seria este, então a norma será esta. O homem tende a comercializar, logo vamos positivar o direito, vamos positivar a relação jurídica do contrato. Comprevendo, por exemplo. Mas aplicando-se a tudo, como é óbvio. E é aqui que também... E também... Isto é a prova de que qualquer sistema ético... Qualquer sistema? Nem é ético, porque é sistema universal apoiando toda a realidade. Qualquer sistema aplicado à pergunta qual é o melhor modo de ser, de viver e tudo, qual é o melhor modo de ser, tem de conter obrigatoriamente a integralidade, a melhor precisa. A melhor precisa descrição, integral descrição do que é, vamos chamar-lhe de problema, por exemplo, para que a proposição sobre o que devia ser, o campo do que devia ser, quer ser admissível. Quanto mais verdadeiro ou mais probabilisticamente verdadeiro possível. Mas neste caso é probabilisticamente porque é verdadeiro, porque é uma publicação de verdade. As proposições valorativas que propõem o melhor, quando o melhor é o próprio estado de coisas a florescer, então são verdadeiras. Portanto, o homem, ao criar a lei, é a própria entidade do sistema a fazer aquilo que deve ser feito, que é ampliar o nível de descrição de realidade a descrição verdadeira, como é óbvio para melhor poder aplicar a solução. E não é só, ai, a solução é uma lei. Não, não, não. Que tipo de lei? Com que alcance? Com que conteúdos? Incidindo sobre o quê, em concreto? Procurando estabelecer, repor, manter o quê? Portanto, posso dizer que todo o relativismo só existe numa microanálise. Ele só existe, só é relevante numa microanálise. O relativismo, ou seja, a deshierarquicação da verdade para elevar a emoção a vencer por questões meramente biológicas e sociais de pequenas comunidades, somente. E o nível de análise sobre razões de melhores modos de ser em sociedades não estão nesse patamar. Porque o próprio sistema também inclui a necessidade de, para que micro-sistemas se manterem coesos, haver preferências de respostas que afastam, por exemplo, a lógica puramente ontológica, mas que beneficiam verdades animalescas, verdades de idiosincrasia do homem que é necessário manter para a estabilidade, depois, das macro-relações. E, portanto, pode-se dizer que, então, as únicas respostas verdadeiras que podem ser apresentadas para a pergunta de qual o melhor modo de viver, em sociedades alheias dos humanos, como é óbvio, essa proposta, as respostas têm de estar sempre, sempre, sempre, sempre, sempre, sempre limitadas à verdade, incluindo compreender os seus mini-ecossistemas. Mas, para respostas de larga escala, para respostas de larga escala, em que civilizações se misturam com objetos exteriores e com elas próprias,","475"
"F0012","Que não é adequado usar tudo o que não seja a melhor descrição possível da realidade. E porque se for logo, ontologicamente, ao nível dos tracinhos no mapa da cadeia da realidade, fecha o círculo, fecha o mapa, a todos os caminhos, a todos os caminhos, a todos os caminhos, intelectualmente... como é que se diz? Caldões. A questão não era essa. A questão é que a crítica maior é dirigida aos sistemas de pensamento, ou seja, aos tipos de pensamento que as pessoas têm nas suas cabeças e que depois exteriorizem comportamentos. A crítica é aos sistemas dominantes do discurso cultural e, entre aspas, científico-académico. Em grandes aspas. Não, não é nada disso. Não se disfarçam como... Portanto, as crenças bifurcadas num lado de relegar para o lado a única solução possível para resolver qualquer problema de sociedade, que é melhor descrever o problema para melhor aplicar a solução que tem que estar contida na própria descrição da realidade, relegar para o lado isto e favorecer outros tipos de pensamentos mais de primeira ordem, mais instintivos, mais emocionais, ou seja, respostas biológicas que não eram para problemas dessa larga escala. Mas quando esse tipo de pensamento se torna dominante na cultura, aquela proliferação deste tipo de visões que são muito mais captáveis pelo cérebro do que outras que requerem esforço físico... A crítica é que isto também é uma própria dependência do sistema ontológico, porque a própria realidade que contém nela própria, se contém o homem com uma bifurcação natural para saber, com uma bifurcação natural para aplicar estilos de resposta aos problemas, para aplicar dois diferentes grandes estilos de resposta aos problemas da realidade. Um que é procurar a realidade e mudar-se, mudar-se, melhorar-se, para melhor adaptar-se à realidade e melhor trazer sistemas... É mais institutiva como, há um problema, então eu vou é mudar o problema, eu vou é mudar o sistema para criar um deve-ser, quem vive na cabeça do deve-ser. A crítica é essa, é que o próprio sistema contém essa necessidade de que esta visão, a visão do lado mais básico, quando toma conta do discurso social, quando toma conta do discurso social, adapta-o.","360"
"F0013","Outro exemplo. O exemplo da tributação. O exemplo da tributação, no seu âmago, é uma análise e resposta ao problema de qual é o melhor modo de nos coordenarmos a todos, tendo como modo de análise a necessidade de, para corrigir, ou para corrigir não, porque inicialmente não foi para corrigir, agora a correção é só a justificação moderna para algo já implantado há muito tempo e cuja justificação era para alimentar os devaneios dos chefes de estados ou então necessidades militares. Tudo isso prende-se com existe um problema, então eu vou atuar mudando o sistema para melhor beneficiar, criando depois todo um conjunto de externalidades durante centenas e centenas de anos que completamente distorcem a única resposta possível. Um dos princípios básicos para a resposta do problema que será que é o homem que cria o sistema, não é o sistema que cria o homem. Olhando de uma perspectiva milenar, olhando de fora, vendo a sociedade unveiling itself, não sei como é que se diz em português. E tendo isso em conta, as ideias que se vão tendo, e que se vão disseminando e moldando a cultura, são, foram, levaram a que com o relativismo... Não. A primeira fase era no sentido de que, do ponto de vista da perceção, da maneira como o homem obtém conhecimento, do ponto de vista da perceção, é o modo mais adaptavelmente colante, tipo cola, que os humanos apreendem como crença naturalmente, pois está ligado a todos os tipos de pessoas, aos diferentes tipos de personalidade que cada pessoa tem e é. Porque uma crença dessa natureza tem de vir do relativismo. Mas o relativismo também no sentido de... pronto, no sentido de crença coletiva. Que depois, nos séculos mais recentes, se transformou no quê? Se mascarou, se mascarou, se mascarou com uma forma científica, entre aspas, mas que é apenas um modo de dissipação, que é o melhor, que é o melhor, porquê? Porque traz consigo a presunção falsa, a presunção falsa de verdade. Que é das universidades, e dos antigos científicos, e dos especialistas intelectuais todos.","345"
"F0014","E a forma do discurso, portanto, a forma do modo de ser, melhor do que isso, não é só do discurso, é a forma do modo de ser, é algo que nós conseguimos apreender relativamente rápido e sem muito esforço mental. Requer um pouco mais quando se cria ativamente ter um tipo de discurso, porque o tipo de discurso aí já é diferente do simples modo de ser, o modo de aparentar, o modo de comportar, rotinamente. O tipo de discurso, então, em português, pelo seu tipo de língua, muito precisa, muito pouco dada a ideias gerais e mais a descrições, leva a que o tipo de forma seja... Ou seja, que se pretenda ter um tipo de forma tal que se pareça que o que se diz é a verdade e o bem, que é a mesma coisa, porque tem a forma intelectual. E a forma da transmissão do conhecimento tem essa característica de apreensão inapta. Há mais formas com mais aptidão para essa apreensão inapta do que outras, e esta tende a ser a pretensa forma verdadeira, ou seja, escudando-se na forma da verdade, só que com o conteúdo, como é óbvio, falso, e por isso falso também. A consequência é o quê? É a disseminação de ideias falsas aparentemente verdadeiras. [...] O melhor modo de ser tem que ser pelas próprias características ontológicas do sistema. [...] Tem que ser um que seja direcionado à verdade, porque não é só o descritivamente correto como é o que leva a planos de devir verdadeiros. [...] O farol da verdade, quando é percecionado largamente, especialmente por quem tem capacidade de disseminar ideias, quando é direcionado de uma forma aparentemente verdadeira, formalmente verdadeira, mas com conteúdo falso, gera crenças coletivas falsas. [...] O problema central é a negação do indivíduo como base ontológica, a delegação do indivíduo a uma instância coletiva ou subjetiva que se pretende superior à realidade. [...] Leva à crença de que o que eu acho vale mais do que o que a realidade é. Portanto, se eu acho isto, é o real. Tanto é o bom, que é a mesma coisa.","354"
"F0015","E... isto tinha a ver com o quê? Não sei, eram mais ideias. Eram as ideias que vivem por aí, que existem ao redor das sociedades, e que, como também uma evidência natural, como a necessidade do próprio sistema, a necessidade de nós estarmos incluídos neste próprio sistema libertanista, algo assim desse género, é que dá espaço à equivalência, pela questão da forma e pela questão do modo de ser, dá-lhe uma equivalência ao subjetivismo e ao realismo. Não sei agora como é que, mais fundo ainda, mais básico eu consigo ir. Agora eu já não sei onde é que eu ia, tem que ver, mas eu creio que isto tudo começou com uma ideia sobre... Com uma ideia sobre... Claro, era depois sobre como é óbvio os efeitos nefastos que toda esta realidade tem. Que é... Pronto, já já já disse um, com a abertura do mercado de trabalho das mulheres. Não que não fosse algo também que fosse necessário do próprio sistema, mas... Apenas apontando os efeitos da dissipação de crenças erradas. Erradas, tanto no sentido descritivo como do plano futuro. Mas era como se fosse... É do género. Se na sociedade o homem é livre. É livre para trocar coisas. Criar coisas. Relacionar-se com outras pessoas. Exigir coisas de outras pessoas em retorno de outras coisas. Voluntariamente. Entrar em acordos. Qualquer tipo de desejo. Inovar. Recriar. Destruir o criado. O que cada criou. Para fazer melhor. Se este é o sistema existente, e é dos melhores sistemas, a abertura do mercado às mulheres leva à duplicação da mão-de-obra, à capacidade de se empregar mais facilmente, maior poder negocial de quem emprega, de quem constrói, e mais precisamente, de quem detém poder e relevo no setor. Porque o que existe no mercado é... Porque o mercado é um tipo de sociedade. Por si só, tem pessoas que operam nele, que não são as mesmas pessoas que operam na vida, no resto da vida, ou podem ser, conflituam, convergem, nem sempre. Mas nele nascem significâncias ontológicas, dele nascem efeitos e causas na sociedade e no homem. É um plano, é um plano à parte. Em que operando bem, tudo bem. Se for verdadeiro, se não for, como tudo, não. Não tenho nem ideia da questão, mas a questão não era essa, a questão não era essa. Isto era agora, isto é um dos milhões de apartes.","397"
"F0016","Ah, a questão era da necessidade. A questão era da necessidade de, obviamente, que o valor do trabalho, no fundo, o valor da vida do homem, o valor do tempo que dá e do gasto e do sacrifício que faz, o valor da vida do homem, vai ser menor. Vai ser menor, vai ser infinitamente menor. Não sendo mau nem bom. No sentido de ser mau, apenas. Não é bom. Não, tem que ser mau, como eu ouço. Tem que ser mau. Tem que ser mau. Pelo menos desta forma. Desta forma em que delega, em benefício do trabalho, a função natural da sobrevivência da espécie que recai sobre a mulher. E, quer dizer, se é para ser o conhecedor da estrutura e, por isso, advocador dos exercícios físicos, e, por isso, advocar as soluções falsas, porque não se é conhecedor, colocas as soluções ao tempo de aula. Mas se é para ter esta força, se é para ter a forma de quem conhece a estrutura, que é uma forma linda na percepção de uma verdade, de uma realidade. Só aí é que a estética vai estar incluída na perfeição filosófica do ser. Porque este modo de ser, sem o ser assim, é risível, porque não é autêntico no sentido de não encarnar a necessidade descritiva para a aplicação valorativa. Porque o ser faz parte do real. Portanto, além das constituições que isso obriga, sendo um ser consciente, sendo um ser com consciência e com capacidade de agir livremente, de construir, de moldar, de destruir, de reconstruir... Então, sobre ele recai quase que uma necessidade de ser derivada da própria realidade. Se eu estou a conduzir, eu sei que tenho de manter-me a uma grande velocidade, com controle longo, duradouro, sobre o carro, de caminho volante e assim por diante. E ser algo diferente é, pelo seu efeito imediato, imediatamente, também salvo pelo enasmo, tido como errado, absurdo, estúpido. Mas a aplicação do... O desvelar, o desvendar, o abrir da cortina dos efeitos de modo de ser falsos é mais lenta, não é duradoura, é mais lenta, não é? Demora tempo. Porque é a necessidade biológica de sermos um animal que leva às consequências inevitáveis da estruturação. Quanto mais afastada da verdade está, mais errada está, mais falsa está. A cadência da evolução das ideias filosóficas e científicas, que são as únicas que me interessam. E científicas são filosóficas. Porque filosofia é o modo de ser de apreensão da realidade. Portanto, quer dizer, está tudo um bocado nesse aspecto adentro da filosofia. Pronto, e o ponto era que a cadência que existe de se ver, a cadência histórica da evolução das ideias filosóficas, é o guião para a compreensão da realidade. Porque é sobre elas que culmina a evidência, as evidências que eu ando aqui a dizer.","467"
"F0017","Calma... As verdadeiras... Nem preciso explicar porquê, não é? Se o único modo de apreensão que temos... Não, dizem que o único modo de apreensão que temos não é objetivo, então é uma mera... Reduz-se a um mero interesse. Mas não porque imitamos, porque os conceitos verdadeiros a que chegamos têm sempre de estar contidos nas próprias limitações do pode-ser, porque as proposições valorativas indexam-se sempre às posições descritivas através do pode-ser, que é diferente do deve-ser. Há uma limitação inerente. Porque é objetivamente verdade aquilo que está contido dentro da descrição da realidade sobre o qual se está a propor alguma coisa. E, logo, todas as críticas ao objetivismo, no ponto de vista da realidade objetiva das coisas e da capacidade de propor proposições valorativas sobre a realidade, caem. Nós não idolatramo(s) grupos de pessoas. Nós idolatramo(s) pessoas. Líderes. Aspirações. Heróis. E nada, era apenas mais uma evidência do porquê as aplicações, as respostas biológicas são apropriadas, nascem de círculos puxados. A ideia de um rendimento universal aplicado às empresas que produzem os robôs, que se tornarão, como é óbvio, substitutos de toda a ação humana, e que, com o pagamento dos impostos altíssimos sobre essas empresas, seria possível pagar um valor. Sem falar do próprio absurdo, que é impor impostos elevados a empresas. Empresas, porque é olhar para o coletivo em vez de olhar para o individual. Porque é esquecer que por detrás de toda a ficção jurídica existe uma ou umas, mas normalmente é uma pessoa, a decidir. A tomar as decisões, a tomar as ações. Portanto, se nessas condições não são favoráveis para agir neste mercado, simplesmente não vou agir neste mercado. Mas a questão não era essa. O segundo ponto é que era importante, porque tinha que era... Mas espera lá. Portanto, o valor do subsídio, que paga milhões de pessoas... Bilhões, talvez, não sei quantos é que são, 2, ou 3, ou 4, ou 5, ou 6 bilhões de pessoas, é pago com o produto da receita que a empresa que faz os robôs, ou as empresas que fazem os robôs, têm. Logo, significa que o valor cobrado tem que ser suficiente para distribuir pelas pessoas todas, além dos custos necessários que os Estados deste tipo de natureza têm. Sim, cométrica, que ridículo. O subsídio tinha de ser pago por dinheiro arrecadado da empresa que fosse o suficiente para gerar receitas e ainda pagar impostos ridiculamente altos. Estão a gerar receitas ridiculamente altas para pagar impostos ridiculamente altos. Enquanto paga uma proporção considerável, muito considerável, do seu lucro. E depois as pessoas iam pagar as prestações com o dinheiro que iriam receber do subsídio do Estado que era arrecadado pelos impostos nessas empresas? Hã? Como é que...? Mas tem-se isto? Se os robôs substituíam o homem na ação, no pensamento talvez não, mas na ação, se há ação que é componente para a própria mudança do mundo, se a ação inexiste, vamos ficar reduzidos a muitos poucos que vão explorar as máximas potencialidades dos robôs para aprimorar o desenvolvimento humano, que vão ser muito poucos e vão ser canalizados nos players dominantes dos setores, ou então o outcome vai ser que a generalidade das pessoas vai usar os robôs para a continuação do mesmo estilo de vida, apenas ilusoriamente mais desafogado, esperando até ao colapso, inevitável.","552"
"F0018","[Proposta GPT]
III. O elo perdido: a consciência

Aqui está o ponto mais exigente:
se o ser inclui o dever-ser, então o ser é consciente de si mesmo — pelo menos em alguns dos seus modos (nós).

A consciência, nesse sentido, não é um acidente biológico; é o órgão reflexivo do ser.
É através dela que o ser se reconhece, se descreve e se aperfeiçoa.

A consciência é o ser a compreender-se e a corrigir-se.

Por isso, a tua filosofia tende naturalmente a uma ontologia panconsistente ou panpsiquista disciplinada, onde o mundo é uma totalidade inteligente, não no sentido místico, mas estrutural:
tudo o que existe tende para a auto-organização e para a coerência — e a consciência humana é a expressão mais elevada dessa tendência.

V. A implicação cosmológica: o universo como sistema de autocompreensão

Esta estrutura exige uma cosmologia coerente:
o universo, nesta visão, é um sistema de autocomplexificação e autocompreensão.
A evolução da matéria para a vida, e da vida para a consciência, não é acidental:
é o modo como o ser vai explicitando o que ele é, até atingir consciência de si.

A história do cosmos é o ser a tornar-se transparente a si próprio.

Isto é ontologicamente total: não há fora.
Tudo o que é, é uma expressão do mesmo movimento.

[Resposta do autor]
3 e 5 não percebi, isso não é meu. O universo não tem consciência porque isso seria aplicar materialismo ao não material, tem sim uma componente não material, manifestada em diferentes modos de sofisticação, limitada, como tudo o resto, pela realidade. Ontologicamente isto é… ontologia é apenas o ser que existe, o que é real. Porque o ser é o que é real. Há muitas palavras, muitas coisas, mas… a realidade. E isso é tudo. Porque a realidade compreende tudo. Porque os episódios poderiam ser sobre a aplicação de comportamento conduzido à verdade. Porque, no fundo, é isso que é a vida bem vivida. A vida bem vivida é uma pergunta muito humana. Só nós conseguimos responder. E, por isso, a história seria do Homem. E o Homem, e o papel do Pai — como diria, não sei qual era o teósofo que me ensinou o nome do Pai… não sei, acho que não era o Jung, era outro qualquer — como simbologia das mais importantes. O Nome do Pai. Porque a Mãe carrega o peso e a necessidade pessoal durante os primeiros anos da vida. Mas depois cabe ao Pai… cabe ao Pai guiar na melhor filosofia possível. E já não é uma questão de critério. É uma questão de necessidade física (não só física — aqui “física” é para stressar). A formulação “que tipo de pensamento tem aquela pessoa?” não é meramente psicológica — é uma pergunta sobre como essa consciência existe dentro da estrutura do real. Ou seja, pensar é uma forma de ser.","476"
"F0019","A crença de Cristo a morrer pelos nossos pecados é o último sacrifício que qualquer homem pode fazer e a ideia por detrás é a de que além da liberdade do homem há também a sua dignidade, no sentido de cada um de nós merecer o mesmo estatuto ontológico e até potencial, ou seja, do que permite o plano do dever-ser e, se assim o escolhermos com livre-arbítrio, no sentido de na possibilidade de caminhos que o ser humano tem de escolher, agir conforme a verdade, mas que se chama Deus por facilidade mas que, sem a questão interventiva, até pode ser. É das crenças-base de corpos éticos, ou seja, de estruturas que mais se aproximam da verdade relevantes que o ser humano desenvolveu, que toca no simples daquilo que é ser humano, de maneira tão psicologicamente simples, quando se tiver de pensar sobre o que é isto de ser bom e de fazer a coisa certa, haver logo a representação visual de um corpo real, de um homem que, pelo seu modo de ser, nos permite ter de modo simples uma crença duradora e referente ao mais importante, que é enquadrar a resposta ao problema do que é isto de viver. São os modos que se vão revelando na maneira do homem pensar e viver; claro que os que mais se enquadram a este setor são os religiosos.","229"
"F0020","É uma verdade que há melhores modos de viver. Ainda que dentro do melhor modo existam modos práticos de círculos inferiores. Em que sociedade é que se vê os máximos das potencialidades do ser humano? Naquelas em que há menos limites à sua ação dentro do plano da verdade. Dentro do plano da verdade. Quanto menos limites houver dentro do plano da verdade, melhor. A batalha que existe entre os que querem inovar, construir, fazer alguma coisa, dar uso à ação que detêm, entre esses e os que não compreendem e que por isso querem impor limitações à liberdade do homem é contra isso que a verdade se vai sempre batalhar. Do ponto mais baixo, esta é a primeira grande divisão do ser consciente. Quero dizer, o que há é a certeza ideológica de que os seres humanos se têm, de um ponto de vista alto, de um ponto de vista mais alto, com, sei lá, duas dúzias de tipos de personalidade, portanto, tipos de ser, que depois podemos, com esses tipos de ser, adequá-los à conexão com a realidade ou não. E esta é a verdade. Ou seja, depois, mediante o tipo de pensamento e ações que têm, se são mais… se indicam mais certos tipos de personalidade a manifestarem-se, e depois, no todo, se pode dizer que há uma pessoa que é X, ou o contrário, que é Y. Num grande plano, num plano maior, ao mais baixo deste caso, podemos agrupar essas pessoas em duas categorias base. O conflito animal com o conflito consciente: a preservação versus o querer conhecer a realidade. É verdade, usei “verdade” no sentido de que, em larga escala, manifesta-se em limitadas variações.","280"
"F0021","[Questão do autor]
O que a consciência faz é buscar a verdade, logo tem de haver verdade, porque é a realidade.
Mas os dados sensoriais são sempre referentes a qualquer coisa, que é a realidade.
Era só para ir afinando as coisas: quais são os problemas que tenho então com a ciência do cérebro?

[Entrada GPT]
1. O problema da intencionalidade causal  
2. O problema da correspondência (representação vs realidade)  
3. O problema da consciência fenomenal  
4. O problema da causalidade descendente  

[Resposta do autor]
1. Ainda que assim seja, há o real e esse é o ponto.  
2. Se os modelos buscam o que funciona, então buscam a verdade.  
3. Não tem de ser necessário; os cães não devem ter consciência e não é por isso que o corpo não se sabe autopreservar.  
4. Nunca percebi isso de “o cérebro determina antes de nós”. Para coisas mundanas faz sentido, mas quando eu penso de facto, penso sobre o que o meu cérebro determina — e se eu estou acima dessa determinação, pelo menos a minha ordem de pensamento é superior.","181"
